THETA2_deg,A_x,A_y,B_x,B_y,MCF_x,MCF_y,M4_x,M4_y,J2_x,J2_y,P_x,P_y,S1_x,S1_y,S2_x,S2_y,P2_x,P2_y,P3_x,P3_y,IFP_x,IFP_y,IFD_x,IFD_y,TIP_x,TIP_y,CRK3_x,CRK3_y,ROK3_x,ROK3_y,theta_fp_deg,theta_fm_deg,theta_fd_deg,DIP_rel_deg
0.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-15.5114,18.9104,44.0000,0.0000,6.2421,31.2305,-27.1842,-3.1972,-40.1834,-3.3389,-48.7542,30.5955,-94.9973,6.8137,-57.9971,-20.5341,-83.1204,-27.2287,-99.4753,-44.7934,-64.0690,-25.7428,-66.5461,-34.2495,180.6245,194.9210,227.0427,32.1217
1.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-15.6761,18.8528,43.9947,0.6108,5.9174,31.4511,-27.2736,-3.2944,-40.2718,-3.5054,-49.0719,30.3702,-95.1712,6.3108,-57.9935,-20.7953,-83.0727,-27.6535,-99.3077,-45.3291,-64.0376,-26.0364,-66.4510,-34.5614,180.9300,195.2943,227.4326,32.1383
2.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-15.8404,18.7939,43.9787,1.2215,5.5881,31.6709,-27.3628,-3.3925,-40.3597,-3.6731,-49.3906,30.1417,-95.3434,5.8037,-57.9886,-21.0577,-83.0222,-28.0805,-99.1354,-45.8671,-64.0045,-26.3311,-66.3534,-34.8741,181.2369,195.6705,227.8259,32.1553
3.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.0041,18.7334,43.9520,1.8318,5.2542,31.8896,-27.4519,-3.4915,-40.4471,-3.8421,-49.7102,29.9099,-95.5139,5.2924,-57.9822,-21.3213,-82.9688,-28.5095,-98.9585,-46.4072,-63.9697,-26.6269,-66.2534,-35.1876,181.5451,196.0496,228.2224,32.1728
4.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.1674,18.6716,43.9147,2.4415,4.9155,32.1072,-27.5408,-3.5915,-40.5340,-4.0122,-50.0307,29.6747,-95.6827,4.7770,-57.9743,-21.5859,-82.9124,-28.9406,-98.7769,-46.9494,-63.9330,-26.9239,-66.1509,-35.5018,181.8547,196.4316,228.6224,32.1908
5.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.3300,18.6084,43.8668,3.0505,4.5720,32.3236,-27.6296,-3.6923,-40.6203,-4.1836,-50.3522,29.4362,-95.8497,4.2572,-57.9650,-21.8516,-82.8531,-29.3737,-98.5904,-47.4938,-63.8947,-27.2219,-66.0458,-35.8168,182.1656,196.8167,229.0258,32.2092
6.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.4921,18.5437,43.8083,3.6585,4.2236,32.5386,-27.7181,-3.7941,-40.7060,-4.3561,-50.6746,29.1942,-96.0148,3.7332,-57.9542,-22.1185,-82.7908,-29.8089,-98.3989,-48.0404,-63.8545,-27.5209,-65.9381,-36.1324,182.4779,197.2047,229.4328,32.2281
7.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.6537,18.4776,43.7391,4.2654,3.8704,32.7521,-27.8066,-3.8968,-40.7911,-4.5299,-50.9979,28.9488,-96.1781,3.2049,-57.9419,-22.3864,-82.7254,-30.2462,-98.2025,-48.5891,-63.8125,-27.8210,-65.8278,-36.4488,182.7915,197.5959,229.8434,32.2475
8.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.8146,18.4101,43.6594,4.8711,3.5123,32.9640,-27.8948,-4.0004,-40.8757,-4.7049,-51.3221,28.6998,-96.3395,2.6721,-57.9280,-22.6553,-82.6568,-30.6855,-98.0009,-49.1398,-63.7687,-28.1221,-65.7148,-36.7658,183.1064,197.9903,230.2577,32.2675
9.0000,-9.0000,0.0000,9.0000,0.0000,-9.0000,-20.0000,-16.9750,18.3412,43.5691,5.4752,3.1492,33.1742,-27.9828,-4.1049,-40.9596,-4.8810,-51.6473,28.4473,-96.4989,2.1350,-57.9126,-22.9253,-82.5851,-31.1269,-97.7941,-49.6927,-63.7230,-28.4243,-65.5992,-37.0833,183.4226,198.3878,230.6758,32.2880
